urldomain,n,perc
nolo,1124,0.07679693905438645
usnews,404,0.027603170265099754
creditcards,344,0.023503689532659196
angieslist,313,0.021385624487564907
nerdwallet,302,0.020634053019950808
findlaw,295,0.02015578026783274
legalmatch,226,0.0154413774255261
incharge,208,0.014211533205793932
credit,187,0.012776714949439738
ca,185,0.012640065591691719
thehotline,185,0.012640065591691719
